filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20190308_205548.jpg,450,600,image,84,75,230,180
IMG_20190308_205548.jpg,450,600,image,236,76,376,187
IMG_20190308_205548.jpg,450,600,switch,177,219,249,265
IMG_20190308_205548.jpg,450,600,switch,94,526,168,566
IMG_20190308_205548.jpg,450,600,switch,239,526,314,565
IMG_20190308_205548.jpg,450,600,button,91,287,354,384
IMG_20190308_205548.jpg,450,600,button,95,410,360,498
IMG_20190308_214445.jpg,450,600,button,181,52,374,128
IMG_20190308_214445.jpg,450,600,button,176,162,348,236
IMG_20190308_214445.jpg,450,600,text_input,183,262,371,341
IMG_20190308_214445.jpg,450,600,image,190,364,365,488
IMG_20190308_214445.jpg,450,600,text,43,61,159,115
IMG_20190308_214445.jpg,450,600,text,45,161,159,215
IMG_20190308_214445.jpg,450,600,text,43,268,157,322
IMG_20190308_214445.jpg,450,600,text,51,383,165,437
IMG_20190308_214445.jpg,450,600,switch,67,493,132,546
IMG_20190308_214451.jpg,450,600,text,52,89,168,148
IMG_20190308_214451.jpg,450,600,text,51,174,167,233
IMG_20190308_214451.jpg,450,600,text,53,268,169,327
IMG_20190308_214451.jpg,450,600,text,51,374,167,433
IMG_20190308_214451.jpg,450,600,text,212,469,342,525
IMG_20190308_214451.jpg,450,600,text,210,467,340,523
IMG_20190308_214451.jpg,450,600,button,195,70,370,150
IMG_20190308_214451.jpg,450,600,button,185,162,360,242
IMG_20190308_214451.jpg,450,600,button,188,268,363,348
IMG_20190308_214451.jpg,450,600,switch,217,370,312,426
IMG_20190308_214451.jpg,450,600,switch,57,463,152,519
IMG_20190308_215203.jpg,450,600,text_input,33,31,404,124
IMG_20190308_215203.jpg,450,600,text_input,22,193,393,286
IMG_20190308_215203.jpg,450,600,text_input,36,369,374,452
IMG_20190308_215203.jpg,450,600,text,36,134,146,175
IMG_20190308_215203.jpg,450,600,text,24,318,134,359
IMG_20190308_215203.jpg,450,600,text,37,479,147,523
IMG_20190308_215203.jpg,450,600,switch,232,482,314,537
IMG_20190308_214914.jpg,450,600,image,64,55,156,128
IMG_20190308_214914.jpg,450,600,image,56,152,148,225
IMG_20190308_214914.jpg,450,600,image,56,246,164,316
IMG_20190308_214914.jpg,450,600,image,55,341,163,412
IMG_20190308_214914.jpg,450,600,image,53,451,161,525
IMG_20190308_214914.jpg,450,600,text,192,75,326,121
IMG_20190308_214914.jpg,450,600,text,185,165,319,211
IMG_20190308_214914.jpg,450,600,text,184,259,318,305
IMG_20190308_214914.jpg,450,600,text,190,357,324,403
IMG_20190308_214914.jpg,450,600,text,172,465,319,510
IMG_20190308_205602.jpg,450,600,button,78,78,364,203
IMG_20190308_205602.jpg,450,600,button,84,242,374,364
IMG_20190308_205602.jpg,450,600,text,90,395,266,475
IMG_20190308_205602.jpg,450,600,text,215,507,352,564
IMG_20190308_205602.jpg,450,600,switch,107,502,183,548
IMG_20190308_205602.jpg,450,600,switch,299,426,386,466
IMG_20190308_212342.jpg,450,600,text,49,81,190,152
IMG_20190308_212342.jpg,450,600,text,224,80,342,149
IMG_20190308_212342.jpg,450,600,text,47,213,209,275
IMG_20190308_212342.jpg,450,600,text,250,197,383,255
IMG_20190308_212342.jpg,450,600,text,61,318,210,381
IMG_20190308_212342.jpg,450,600,switch,283,317,359,357
IMG_20190308_212342.jpg,450,600,switch,82,426,152,470
IMG_20190308_212342.jpg,450,600,image,237,417,348,523
